speed,serial,camera,timestamp,latitude,longitude,horizontal_accuracy,gps_last_update_unix,notes,sourceFolder,flower?,boxes_xywh,confs,clss,GPSpoint
50.0,319522065401.0,RS2,20251031_192031_395538Z,39.6270423,-111.6368581,0.014,1761938431.2326634,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1650.3846435546875, 17.811687469482422, 87.185791015625, 31.67669677734375]]",[0.791940450668335],[2.0],['[  39.62704798 -111.63685839]']
50.0,211622067750.0,RS3,20251031_192031_446258Z,39.6270423,-111.6368581,0.014,1761938431.2326634,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1112.55078125, 17.14698028564453, 82.6812744140625, 30.111534118652344]]",[0.7432530522346497],[2.0],['[  39.62704787 -111.63685814]']
50.0,319522065401.0,RS2,20251031_192031_676724Z,39.627043,-111.636858,0.014,1761938431.6331549,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1709.2626953125, 39.21021270751953, 116.22705078125, 71.61170959472656]]",[0.8655783534049988],[2.0],['[  39.62704815 -111.63685831]']
50.0,211622067750.0,RS3,20251031_192031_708119Z,39.627043,-111.636858,0.014,1761938431.6331549,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1127.739990234375, 38.55895233154297, 107.3984375, 70.15048217773438]]",[0.8493177890777588],[2.0],['[  39.62704806 -111.63685803]']
50.0,319522065401.0,RS2,20251031_192031_907186Z,39.627043,-111.636858,0.014,1761938431.6331549,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1774.3358154296875, 79.89913940429688, 133.267333984375, 84.10896301269531]]",[0.8909421563148499],[2.0],['[  39.62704765 -111.63685834]']
50.0,211622067750.0,RS3,20251031_192031_928610Z,39.627043,-111.636858,0.014,1761938431.6331549,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1139.812255859375, 82.1976089477539, 121.37548828125, 79.83328247070312]]",[0.8785566091537476],[2.0],['[  39.62704756 -111.63685804]']
50.0,319522065401.0,RS2,20251031_192032_154240Z,39.6270439,-111.636858,0.014,1761938432.033155,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1835.4390869140625, 119.138916015625, 142.538818359375, 94.1038818359375]]",[0.894317626953125],[2.0],['[  39.62704816 -111.63685836]']
50.0,211622067750.0,RS3,20251031_192032_181745Z,39.6270439,-111.636858,0.014,1761938432.033155,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1153.94921875, 142.11004638671875, 142.24072265625, 96.91357421875]]",[0.8972654342651367],[2.0],['[  39.62704789 -111.63685806]']
50.0,319522065401.0,RS2,20251031_192032_402858Z,39.6270439,-111.636858,0.014,1761938432.033155,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1885.0203857421875, 187.8521728515625, 69.959228515625, 112.80979919433594]]",[0.8595730662345886],[2.0],['[  39.62704758 -111.63685859]']
50.0,211622067750.0,RS3,20251031_192032_470085Z,39.6270448,-111.636858,0.014,1761938432.4301832,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1162.51708984375, 193.1351318359375, 156.9664306640625, 108.34632873535156]]",[0.8863959908485413],[2.0],['[  39.6270484  -111.63685809]']
